Code,Station_ID,JMD_code,Station_Name,Altitude_m,Latitude,Longitude,Time,SPI
,AL0004,30,Jarash,585,32.279346,35.892955,8/31/80,0
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,9/30/80,0
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,9/30/80,0
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,9/30/80,0
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,9/30/80,0
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,9/30/80,0
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,9/30/80,0
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,9/30/80,0
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,9/30/80,0
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,9/30/80,0
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,9/30/80,0
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,9/30/80,0
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,9/30/80,0
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,9/30/80,0
SYNP0029,,14,Queen AIA,722,31.43,35.59,9/30/80,0
